unit_id,feature,value,rule,confidence,evidence
R142_0058,place,Ragusi,G_gazetteer,medium,"…rono insieme, et dell'altro per Ragusi, ~~et~~ fu intartenuta per caut…"
R142_0059,document_trigger,letters,M_trigger_incipit,medium,…Habb[iam]o noi uedute le l[ette]re del s[igno]r Pod[est]a di Collogna…
R142_0059,policy_domain,institutional_procedure,M_domain_cues,low,…V[ostra] la confirmatione della elettione per sua S[igno]ria Cl[arissi]ma…
R142_0059,decision_orientation,grant,M_orientation_from_closing,low,…lla S[ereni]ta V[ostra che ella possa dar al detto eletto la confirmatione senza alcun sal[ari]o stante la…
R142_0059,term_institutions,scansadori,T_lexicon,high,…tre ueduto come dalli s[igno]ri scansadori fu ad essi cauallari scansato i…
R142_0060,document_trigger,letters,M_trigger_incipit,medium,…Habbiamo noi [Savi] uedute le l[ette]re del s[igno]r luogotenente di Vdine…
R142_0060,policy_domain,institutional_procedure,M_domain_cues,low,"…ostra] la co[n]firmatione della elettione, per sua s[igno]ria cl[arissi]m…"
R142_0060,decision_orientation,grant,M_orientation_from_closing,low,…la S[ereni]ta V[ostra] che ella possa dar al detto eletto la confirmatione quando dalli s[igno]ri scansado…
R142_0060,term_deontic,non possa,T_lexicon,high,"…trario con conditione pero, che non possa andar al possesso se prima non…"
R142_0060,term_institutions,scansadori,T_lexicon,high,…rmatione quando dalli s[igno]ri scansadori non li sia riferto altro in con…
R142_0060,term_monetary,l[ire] 116,T_lexicon,high,"…hanno di sal[ari]o tutti quatto l[ire] 116 [soldi] 16 ogni tre mesi, oltre…"
R142_0060,place,Vdine,G_gazetteer,medium,"…re del s[igno]r luogotenente di Vdine de 19 sett[embr]e passato, per…"
R142_0011,document_trigger,commission,M_trigger_incipit,medium,…endo noi etc. in esecution dell'ordene datoci a bocca discorso una et piu vol…
R142_0011,policy_domain,currency_monetary,M_domain_cues,medium,…he dalla prohibitione di queste monete forastiere d'argento veniranno…
R142_0011,term_deontic,stimiamo,T_lexicon,high,"…rebbe (?), esseguite. Ma perché stimiamo che questa provisione del tutto…"
R142_0011,term_institutions,senato,T_lexicon,high,"…te un novo magistrato de cinque senatori delli primarij della città, q…"
R142_0011,term_institutions,proveditori,T_lexicon,high,"…, che vengono eletti li signori Proveditori sopra le pompe potendo formar p…"
R142_0011,term_institutions,zecca,T_lexicon,high,"…sceranno maggiormente nella sua zecca per la condotta loro, come si s…"
R142_0012,policy_domain,currency_monetary,M_domain_cues,medium,"…te nelle Cecche aliene in altre monete di mala qualità, et inferiori a…"
R142_0012,decision_orientation,regulate,M_orientation_from_closing,low,"…atuiti dal senato alla presente regolatione non repugnanti, et specialment…"
R142_0012,term_deontic,debba,T_lexicon,high,"…iudicato, che fra poveri non li debba andar quella cosi grossa summa…"
R142_0012,term_deontic,debbano,T_lexicon,high,"…mente li tre superiori di balle debbano esser eletti per un anno, et li…"
R142_0012,term_deontic,non possino,T_lexicon,high,"…, et Venetiane stronzate, quali non possino esser spese da alcuno, cosi in…"
R142_0012,term_deontic,stimiamo,T_lexicon,high,"…estiere, come Venetiane scarse, stimiamo, che non concorreranno in così…"
R142_0012,term_fiscal,datij,T_lexicon,high,"…e grandissima mutatione, i suoi datij et il negotio restano in molta…"
R142_0012,term_fiscal,ducati,T_lexicon,high,…e pecuniarie fino alla summa de ducati tresento. Et dalla p.a summa di…
R142_0012,term_institutions,senato,T_lexicon,high,…er esser deliberato nell'Ecc.mo Senato quanto sarà stimato poi più con…
R142_0012,term_institutions,collegio,T_lexicon,high,"…l senato, eccettuato quelli del collegio acque, et biave, nelli quali ca…"
R142_0012,term_institutions,proveditori,T_lexicon,high,"…commesso, che redutti i signori Proveditori, et depositarij in Ceca, Reviso…"
R142_0012,term_institutions,zecca,T_lexicon,high,"…anco con quell'avantaggio della Zecca, se cosi parera alla S.ta V. E…"
R142_0012,term_monetary,ducati tresento.,T_lexicon,high,…e pecuniarie fino alla summa de ducati tresento. Et dalla p.a summa di ducati tr…
R142_0012,term_monetary,lire 12,T_lexicon,high,"…oneda Venetiana stronzata altre lire 12, con quella regula, che parerà…"
R142_0012,term_monetary,7 per cento,T_lexicon,high,…e' quali si guadagna a rason di 7 per cento. Che sia stampata moneta di ar…
R142_0061,document_trigger,letters,M_trigger_incipit,medium,…op[ra] la m[ercan]tia uedute le l[ette]re del Cl[arissi]mo s[igno]r Cap[itan]…
R142_0061,policy_domain,institutional_procedure,M_domain_cues,low,…V[ostra] la confirmatione della elettione per sua s[ignor]ia Cl[arissi]ma…
R142_0061,decision_orientation,grant,M_orientation_from_closing,low,…la S[ereni]ta V[ostra] che essa possa dar al detto eletto la confirmatione con esso sal[ari]o de L[ire] 5…
R142_0061,term_institutions,senato,T_lexicon,high,…il qual sal[ari]o con parte del Senato sotto 30 Zener 1587 (1567?) fu…
R142_0061,term_monetary,L[ire] 10,T_lexicon,high,"…onati confirmati con salario de L[ire] 10 per paga a paghe 8 all'anno, il…"
R142_0061,place,Padoa,G_gazetteer,medium,"…rissi]mo s[igno]r Cap[itan]o di Padoa de 14 Luglio passato, per i qua…"
R142_0062,document_trigger,letters,M_trigger_incipit,medium,…[ra] la m[ercan--+toa iedite òe l[ette]re del Cap[itan]o di Padoa di 25 Nou[e…
R142_0062,policy_domain,institutional_procedure,M_domain_cues,low,…V[ost]ra la confirmatione della elettione per sua s[ignor]ia Cl[arissi]ma…
R142_0062,decision_orientation,prohibit,M_orientation_from_closing,low,"…o, con conditione appresso, che non possa andar al possesso di quello se…"
R142_0062,term_deontic,non possa,T_lexicon,high,"…o, con conditione appresso, che non possa andar al possesso di quello se…"
R142_0062,term_institutions,scansadori,T_lexicon,high,"…one, quando che dalli s[igno]ri scansadori non li sia riferto cosa alcuna…"
R142_0062,term_monetary,L[ire] 15,T_lexicon,high,"…a quella porta con sal[ari]o de L[ire] 15 per uno per paga, a paghe otto…"
R142_0062,place,Padoa,G_gazetteer,medium,"…òe l[ette]re del Cap[itan]o di Padoa di 25 Nou[embr]e instante, per…"
R142_0062,place,Malcesene,G_gazetteer,medium,"…] Z[uan] D[ome]n[e]go Basoni da Malcesene, et in luogo di ant° Parmesan m…"
R142_0013,document_trigger,supplica,M_trigger_incipit,medium,…l q. D. Carlo aggionta alla sua supp.ne per la quale ricercano di poter…
R142_0013,policy_domain,citizenship_privilege,M_domain_cues,medium,…et Ferdinando Helmani civilta. [cittadinanza per i fratelli Helmann q. C…
R142_0013,term_fiscal,datij,T_lexicon,high,"…tà, per servitio delli negotij, datij, arti, et altri beneficij quest…"
R142_0013,term_fiscal,datio,T_lexicon,high,"…le altre mercantie obligate al datio dell'intrada da terra, nella re…"
R142_0013,term_fiscal,gravezze,T_lexicon,high,"…famiglia con il pagamento delle gravezze, et per anni otto dopo tolta do…"
R142_0013,term_fiscal,tansa,T_lexicon,high,…fratello di esso q. D. Carlo fu tansato nell'ultima regolatione che h…
